file
cm056745.1
  start     end
  288380  288415
  288514  288533
  288604  288624
  288651  288671
  288692  288714
  288752  288797
  288918  288936
  289185  289207
  289434  289447
  289517  289532
  289617  289643
  289652  289678
  289960  289973
  291475  291494
  291583  291601
  291613  291647
  291656  291697
  291712  291727
  294393  294408
  294559  294569
  294684  294706
  294847  294869
  295227  295248
  297850  297873
  299510  299523
  304404  304424
  304545  304564
  307322  307334
  308002  308015
  314228  314244
  315424  315437
  315486  315532
  316517  316532
  316620  316635
  317101  317119
  320840  320853
  321589  321611
  322545  322567
  323251  323266
  323315  323347
  323888  323906
  323926  323947
  323959  323981
  324036  324055
  324189  324202
  324527  324544
  325270  325290
  325307  325326
  325357  325373
  326708  326726
  328015  328027
  330521  330545
  331395  331409
  333724  333741
  334540  334551
  334965  334978
  337659  337679
  339155  339173
  340190  340208
  341715  341728
  350637  350652
  350990  351004
  351100  351115
  352077  352092
  352119  352135
  352237  352254
  352544  352559
  352572  352585
  353782  353798
  353822  353836
  354776  354793
  356003  356014
  356539  356574
  357306  357325
  357820  357862
  357875  357894
  358051  358097
  358660  358677
  358892  358906
  359006  359030
  359432  359444
  360447  360464
  360602  360618
  363232  363252
  363662  363708
  365186  365197
  366610  366624
  366629  366644
  366735  366749
  366755  366768
  369052  369065
  371886  371904
  372325  372342
  372455  372470
  372585  372600
  372715  372729
  372843  372858
  372973  372988
  372994  373011
  374006  374041
  374116  374152
  374225  374264
  374337  374364
  374445  374475
  374550  374586
  374660  374694
  374768  374804
  374878  374914
  374989  375023
  375097  375134
  376960  376981
  378452  378465
  379136  379152
  379822  379836
  384052  384071
  384920  384935
  384965  384984
  392628  392643
  394281  394294
  395321  395333
  395814  395828
  396912  396931
  396941  396963
  397257  397289
  399021  399035
  400562  400575
  400597  400615
  403246  403262
  403316  403334
  403407  403424
  406160  406175
  406538  406551
  407512  407525
  407689  407701
  407866  407879
  408428  408442
  408461  408472
  408516  408531
  408555  408576
  409486  409507
  410052  410066
  411351  411368
  411528  411545
  411705  411722
  412084  412097
  413517  413536
  415698  415713
  419424  419436
  426493  426522
  429855  429867
  430182  430196
  430339  430363
  431106  431124
  433233  433248
  433595  433608
  433792  433806
  439271  439290
  441167  441177
  450256  450276
  454194  454208
  455241  455264
  455622  455648
  455665  455681
  455898  455913
  472394  472410
  473069  473087
  475241  475258
  476135  476152
  476303  476319
  477650  477664
  478253  478268
  478759  478771
  480109  480121
  481513  481525
  485313  485326
  485447  485459
  493635  493650
  501863  501879
  505267  505282
  505356  505371
  507107  507122
  510520  510541
  510593  510611
  510628  510651
  512486  512503
  513194  513208
  517819  517831
  527036  527047
  536045  536057
  537406  537424
  541680  541693
  541717  541739
  544176  544195
  545148  545161
  545531  545545
  557422  557437
  557906  557923
  561268  561278
  575310  575323
  584834  584921
  584977  584994
  585037  585053
  607285  607302
  607931  607943
  617959  617972
  618310  618330
  630591  630604
  631051  631068
  631080  631095
  631535  631549
  631552  631570
  631732  631748
  636882  636898
  637825  637840
  640122  640140
  643613  643629
  652524  652537
  653590  653606
  653663  653673
  653755  653771
  673751  673766
  676748  676761
  677165  677181
  677459  677474
  679177  679196
  690269  690283
  690779  690797
  690960  690977
  693708  693741
  693756  693775
  694463  694480
  695240  695254
  695313  695325
  697332  697347
  698409  698423
  699146  699164
  699362  699374
  699503  699519
  701710  701724
  707807  707818
  708879  708894
  709913  709926
  713039  713061
  730022  730035
  731781  731793
  732138  732154
  736981  736997
  737422  737435
  743146  743159
  759288  759302
  761593  761606
  764821  764831
  768515  768528
  777796  777806
  778524  778536
  787448  787463
  787646  787660
  789419  789432
  789693  789710
  790357  790374
  790925  790954
  791426  791441
  791592  791607
  792916  792931
  805067  805092
  805174  805189
  806456  806473
  815617  815632
  815656  815670
  816920  816933
  816981  816995
  820291  820306
  820329  820345
  820995  821010
  831246  831260
  834921  834937
  836724  836736
  837542  837558
  838569  838580
  839134  839149
  857181  857198
  857258  857271
  858706  858719
  858758  858773
  859810  859826
  860123  860144
  870179  870213
  880169  880183
  880447  880463
  887964  887982
  899380  899398
  907810  907825
  909230  909247
  914721  914737
  915570  915585
  922012  922033
  922053  922063
  922073  922095
  929732  929747
  929816  929832
  936597  936617
  937775  937793
  938512  938523
  938860  938875
  938889  938920
  939679  939693
  939703  939723
  939754  939777
  939828  939845
  941451  941480
  945990  946004
  950816  950831
  956849  956865
  957632  957645
  957997  958008
  963113  963127
  964539  964556
  965314  965328
  966570  966586
  969204  969218
  969239  969278
  978837  978850
  982680  982695
  982736  982748
  985793  985803
  987135  987181
  987471  987488
  987603  987619
  989619  989636
  991361  991379
  991394  991410
  991497  991516
  994077  994098
  994322  994335
  995159  995194
  995209  995230
  995271  995289
  996033  996049
  996518  996529
  996689  996703
  998239  998253
 1007807 1007821
 1015942 1015955
 1020965 1020979
 1028480 1028495
 1030553 1030574
 1034053 1034067
 1042109 1042123
 1062149 1062163
 1067710 1067721
 1071957 1071969
 1079082 1079096
 1089316 1089330
 1090986 1091001
 1091011 1091023
 1094402 1094413
 1115975 1115987
 1119986 1120002
 1123904 1123915
 1129483 1129499
 1130742 1130757
 1132900 1132913
 1133156 1133173
 1139210 1139220
 1139277 1139292
 1141163 1141177
 1144011 1144026
 1148049 1148063
 1148542 1148558
 1148706 1148722
 1152411 1152424
 1157412 1157426
 1188509 1188528
 1189382 1189394
 1192676 1192692
 1194505 1194519
 1197067 1197081
 1201559 1201577
 1202133 1202148
 1202227 1202244
 1213884 1213898
 1226970 1226981
 1243178 1243192
 1246795 1246811
 1248105 1248123
 1256276 1256286
 1260677 1260704
 1260739 1260760
 1279742 1279756
 1280753 1280767
 1286319 1286334
 1293209 1293220
 1302363 1302375
 1311506 1311518
 1315010 1315026
 1330259 1330271
 1330650 1330665
 1333412 1333426
 1341494 1341512
 1356660 1356676
 1356734 1356749
 1371920 1371935
 1376825 1376840
 1377441 1377454
 1382808 1382825
 1382894 1382909
 1391980 1391995
 1392066 1392077
 1403222 1403238
 1406385 1406400
 1410097 1410116
 1410980 1410996
 1412339 1412355
 1430192 1430205
 1437740 1437757
 1441269 1441280
 1451918 1451928
 1452354 1452367
 1459879 1459894
 1464296 1464314
 1472213 1472227
 1472285 1472302
 1472307 1472325
 1477341 1477358
 1477702 1477713
 1477740 1477754
 1484960 1484975
 1487244 1487257
 1507387 1507403
 1507476 1507493
 1508046 1508064
 1513899 1513916
 1528039 1528055
 1528206 1528221
 1530746 1530761
 1530896 1530909
 1537143 1537156
 1545501 1545515
 1550589 1550600
 1552411 1552425
 1552800 1552811
 1562640 1562659
 1564796 1564808
 1565691 1565703
 1566888 1566905
 1578887 1578901
 1585792 1585810
 1592858 1592875
 1592971 1592987
 1594027 1594043
 1594124 1594140
 1594694 1594712
 1595602 1595617
 1595850 1595863
 1596786 1596808
 1597484 1597499
 1597745 1597759
 1603600 1603617
 1607581 1607594
 1614643 1614656
 1616868 1616884
 1619560 1619576
 1624911 1624924
 1637543 1637558
 1641219 1641232
 1676902 1676918
 1677034 1677050
 1679044 1679062
 1679081 1679100
 1679236 1679252
 1679911 1679925
 1686928 1686946
 1697206 1697222
 1698563 1698575
 1702753 1702767
 1709349 1709360
 1712791 1712804
 1713222 1713236
 1714495 1714510
 1716142 1716158
 1724579 1724591
 1786643 1786655
 1788200 1788215
 1790147 1790162
 1796077 1796090
 1796157 1796172
 1798852 1798863
 1865881 1865898
 1873573 1873585
 1879220 1879232
 1905109 1905120
 1906867 1906883
 1909146 1909157
 1911497 1911516
 1911532 1911547
 1914065 1914081
 1916981 1916997
 1917629 1917644
 1917703 1917713
 1960908 1960921
 1966777 1966791
 1966981 1966992
 1970173 1970190
 1977161 1977177
 1980678 1980692
 1986669 1986680
 1987455 1987471
 1991226 1991241
 1997263 1997279
 2001104 2001121
 2100230 2100246
 2151556 2151567
 2163224 2163240
 2179093 2179114
 2183414 2183441
 2185307 2185328
 2204331 2204341
 2214358 2214374
 2214458 2214469
 2214838 2214855
 2231514 2231529
 2232938 2232954
 2234570 2234592
 2247364 2247375
 2247777 2247789
 2251641 2251658
 2254222 2254237
 2260870 2260886
 2261776 2261794
 2262285 2262300
 2262358 2262371
 2262450 2262466
 2267402 2267416
 2290779 2290794
 2290932 2290948
 2290992 2291007
 2291060 2291078
 2295237 2295252
 2298689 2298703
 2308210 2308222
 2316352 2316366
 2323899 2323912
 2331263 2331276
 2336228 2336242
 2337757 2337771
 2339076 2339093
 2369161 2369178
 2373763 2373779
 2377708 2377723
 2378051 2378062
 2391229 2391243
 2396813 2396828
 2396910 2396926
 2404866 2404879
 2406200 2406210
 2410641 2410655
 2415083 2415099
 2416339 2416353
 2421348 2421363
 2423033 2423049
 2428617 2428630
 2430421 2430437
 2430500 2430518
 2430565 2430580
 2438321 2438335
 2447805 2447819
 2456370 2456381
 2467173 2467183
 2469922 2469939
 2470475 2470493
 2480161 2480171
 2480255 2480279
 2492617 2492631
 2493975 2493988
 2495362 2495375
 2497177 2497191
 2497894 2497912
 2507851 2507871
 2512909 2512927
 2512971 2512989
 2525948 2525962
 2526905 2526923
 2527024 2527038
 2529303 2529319
 2529702 2529716
 2535557 2535573
 2546619 2546633
 2564351 2564367
 2567174 2567185
 2567425 2567437
 2574202 2574215
 2574795 2574805
 2583525 2583538
 2585622 2585634
 2593329 2593341
 2594793 2594810
 2599414 2599442
 2631751 2631765
 2643776 2643791
 2651565 2651582
 2662693 2662707
 2677510 2677527
 2677589 2677601
 2679253 2679271
 2679298 2679315
 2683709 2683725
 2691292 2691311
 2695581 2695594
 2696724 2696740
 2700732 2700763
 2708401 2708414
 2708634 2708654
 2709402 2709420
 2712022 2712033
 2713002 2713020
 2719462 2719474
 2723040 2723051
 2723252 2723271
 2723283 2723297
 2731537 2731553
 2733675 2733691
 2736863 2736877
 2740925 2740942
 2741890 2741905
 2746386 2746407
 2748295 2748307
 2749575 2749588
 2753757 2753779
 2753969 2753985
 2760846 2760862
 2760900 2760914
 2767999 2768010
 2769395 2769421
 2769437 2769465
 2774033 2774049
 2774087 2774110
 2774290 2774305
 2774368 2774386
 2774432 2774453
 2774463 2774484
 2774523 2774543
 2774604 2774636
 2776214 2776230
 2783087 2783105
 2784298 2784315
 2784526 2784536
 2785963 2785978
 2788465 2788482
 2789384 2789399
 2793434 2793447
 2805916 2805931
 2810357 2810376
 2810904 2810920
 2811666 2811695
 2812837 2812850
 2812863 2812895
 2813810 2813826
 2814758 2814771
 2814782 2814799
 2814832 2814856
 2814906 2814923
 2815047 2815065
 2815090 2815108
 2816058 2816071
 2816085 2816095
 2817779 2817801
 2818121 2818136
 2818730 2818746
 2818794 2818814
 2822162 2822175
 2826331 2826347
 2826667 2826688
 2829066 2829082
 2829410 2829423
 2832770 2832784
 2835444 2835459
 2835611 2835623
 2850439 2850451
 2851828 2851843
 2853910 2853926
 2854090 2854106
 2870858 2870871
 2880809 2880834
 2880890 2880902
 2882653 2882668
 2886059 2886077
 2889905 2889919
 2893201 2893212
 2895548 2895561
 2896372 2896387
 2896469 2896482
 2897670 2897686
 2903960 2903975
 2904687 2904702
 2909676 2909690
 2909791 2909805
 2912501 2912511
 2913270 2913284
 2916371 2916389
 2917161 2917174
 2918536 2918555
 2935581 2935593
 2935615 2935631
 2936130 2936150
 2936266 2936281
 2936833 2936848
 2936872 2936889
 2949257 2949268
 2956247 2956260
 2957136 2957149
 2958754 2958771
 2963140 2963152
 2964189 2964203
 2970435 2970451
 2973155 2973173
 2975264 2975278
 2975312 2975337
 2975826 2975839
 2979688 2979698
 2979827 2979845
 2980103 2980117
 2981554 2981568
 2983357 2983374
 2985284 2985305
 2986607 2986621
 3001024 3001036
 3002259 3002281
 3004410 3004421
 3006811 3006823
 3008840 3008853
 3008877 3008897
 3009919 3009942
 3010522 3010535
 3010670 3010687
 3010702 3010718
 3010727 3010756
 3010818 3010835
 3011092 3011108
 3012183 3012198
 3013364 3013391
 3013415 3013431
 3014079 3014090
 3014576 3014593
 3014631 3014659
 3015363 3015396
 3018256 3018274
 3019356 3019370
 3023049 3023060
 3025727 3025743
 3027257 3027270
 3037157 3037170
 3041856 3041869
 3042513 3042529
 3043238 3043255
 3043279 3043297
 3043679 3043699
 3048810 3048826
 3049037 3049059
 3050083 3050102
 3050576 3050591
 3054696 3054711
 3056039 3056052
 3059415 3059430
 3059438 3059459
 3059754 3059767
 3064951 3064965
 3065934 3065950
 3067863 3067873
 3076258 3076271
 3077961 3077976
 3078620 3078640
 3080551 3080565
 3085364 3085383
 3088382 3088395
 3104831 3104842
 3104928 3104943
 3106135 3106157
 3119665 3119681
 3124370 3124382
 3124535 3124552
 3130169 3130184
 3131852 3131864
 3133384 3133401
 3136359 3136372
 3136916 3136935
 3138566 3138581
 3138660 3138671
 3139133 3139152
 3140124 3140142
 3140175 3140193
 3143862 3143873
 3157175 3157206
 3170028 3170044
 3170397 3170410
 3183297 3183312
 3188033 3188045
 3193409 3193425
 3196984 3196999
 3203262 3203276
 3204666 3204685
 3205163 3205175
 3214245 3214258
 3215246 3215259
 3216250 3216266
 3217539 3217551
 3217906 3217924
 3234424 3234438
 3234563 3234575
 3234610 3234625
 3241943 3241958
 3252917 3252934
 3258271 3258288
 3303804 3303818
 3304548 3304566
 3304603 3304619
 3304665 3304691
 3321237 3321252
 3327093 3327109
 3327363 3327380
 3338942 3338973
 3340781 3340797
 3346812 3346823
 3347136 3347154
 3350218 3350233
 3351806 3351817
 3353824 3353836
 3355603 3355617
 3357887 3357900
 3375829 3375844
 3395179 3395190
 3402587 3402598
 3406148 3406162
 3406182 3406198
 3407316 3407329
 3432675 3432685
 3436270 3436283
 3437088 3437100
 3437732 3437751
 3438463 3438483
 3438926 3438946
 3439805 3439817
 3441474 3441486
 3443040 3443054
 3446277 3446288
 3452791 3452805
 3453670 3453680
 3457476 3457493
 3459606 3459619
 3459753 3459766
 3459900 3459913
 3460046 3460062
 3460194 3460209
 3460341 3460354
 3460487 3460503
 3460635 3460648
 3460782 3460795
 3460929 3460942
 3461075 3461087
 3463906 3463928
 3469582 3469609
 3469743 3469758
 3469896 3469923
 3470057 3470072
 3470210 3470225
 3470363 3470378
 3470516 3470542
 3470677 3470703
 3470838 3470865
 3471301 3471328
 3471860 3471873
 3473192 3473206
 3478477 3478494
 3478507 3478519
 3480428 3480442
 3481607 3481623
 3483259 3483274
 3484098 3484112
 3487356 3487371
 3489514 3489526
 3490974 3490989
 3491797 3491812
 3492581 3492607
 3493772 3493783
 3495778 3495797
 3496585 3496599
 3497022 3497038
 3497137 3497150
 3502153 3502168
 3502314 3502331
 3502456 3502473
 3502598 3502615
 3502739 3502751
 3502882 3502900
 3504716 3504730
 3505715 3505727
 3506968 3506985
 3511035 3511047
 3511636 3511647
 3512354 3512382
 3513441 3513458
 3518166 3518181
 3518213 3518232
 3526539 3526552
 3526567 3526579
 3526604 3526615
 3531567 3531586
 3532057 3532075
 3535394 3535413
 3535444 3535463
 3563227 3563242
 3564545 3564563
 3564699 3564718
 3564853 3564872
 3565007 3565026
 3565161 3565180
 3565315 3565334
 3571310 3571325
 3571728 3571742
 3580425 3580435
 3581138 3581152
 3585716 3585731
 3597188 3597206
 3597286 3597296
 3597313 3597325
 3606816 3606831
 3607933 3607947
 3616203 3616216
 3618103 3618116
 3626157 3626170
 3637352 3637367
 3640055 3640072
 3640328 3640339
 3645437 3645448
 3645658 3645677
 3656588 3656601
 3660213 3660247
 3662109 3662125
 3662471 3662483
 3673361 3673373
 3705095 3705110
 3705938 3705957
 3718339 3718354
 3720051 3720062
 3726723 3726737
 3730113 3730124
 3748454 3748469
 3748516 3748547
 3764501 3764516
 3765207 3765224
 3768511 3768528
 3769494 3769505
 3793335 3793350
 3814804 3814817
 3814831 3814852
 3827593 3827607
 3830084 3830096
 3834445 3834459
 3842642 3842658
 3861926 3861941
 3868140 3868152
 3880615 3880628
 3916177 3916196
 3916255 3916270
 3920322 3920335
 3927552 3927568
 3928584 3928602
 3928653 3928664
 3928723 3928741
 3934233 3934245
 3942736 3942750
 3946207 3946222
 3949363 3949377
 3958063 3958079
 3958108 3958124
 3961270 3961283
 3987026 3987042
 3990194 3990208
 3999256 3999269
 3999326 3999337
 4001425 4001438
 4001590 4001605
 4001674 4001688
 4001701 4001717
 4005632 4005648
 4009278 4009293
 4016571 4016583
 4016843 4016862
 4016873 4016902
 4018977 4018991
 4020244 4020260
 4020728 4020743
 4020887 4020902
 4021048 4021060
 4021206 4021219
 4021365 4021378
 4021524 4021538
 4021683 4021696
 4021840 4021855
 4022001 4022015
 4022160 4022174
 4022318 4022333
 4022478 4022492
 4022637 4022651
 4022796 4022810
 4022956 4022968
 4023114 4023128
 4024356 4024370
 4025052 4025070
 4025131 4025141
 4026087 4026103
 4026961 4026974
 4027069 4027080
 4027553 4027567
 4042295 4042310
 4042322 4042339
 4042650 4042669
 4043623 4043638
 4058128 4058141
 4061277 4061290
 4078971 4078985
 4080962 4080977
 4086128 4086146
 4086196 4086214
 4097355 4097371
 4102056 4102072
 4114205 4114221
 4114371 4114387
 4114816 4114826
 4114857 4114869
 4114931 4114945
 4114982 4115009
 4115084 4115103
 4115927 4115942
 4116080 4116098
 4116169 4116188
 4116366 4116384
 4121036 4121049
 4129166 4129184
 4137647 4137662
 4139088 4139108
 4140173 4140183
 4142019 4142034
 4142580 4142591
 4145902 4145920
 4152073 4152088
 4152703 4152716
 4153840 4153858
 4155906 4155922
 4157392 4157408
 4158650 4158665
 4160767 4160782
 4161446 4161461
 4161762 4161782
 4161834 4161850
 4162907 4162918
 4165609 4165622
 4165932 4165947
 4167017 4167029
 4168107 4168124
 4170264 4170282
 4171981 4171998
 4172437 4172454
 4173214 4173228
 4173296 4173311
 4175684 4175696
 4178011 4178026
 4180796 4180813
 4182157 4182171
 4187498 4187514
 4191682 4191695
 4194624 4194640
 4201416 4201428
 4210210 4210225
 4210517 4210534
 4212390 4212402
 4216022 4216037
 4221553 4221569
 4222059 4222073
 4231728 4231749
 4231836 4231852
 4237274 4237286
 4237373 4237389
 4247273 4247286
 4269044 4269059
 4269140 4269157
 4269711 4269729
 4275162 4275179
 4283341 4283360
 4284044 4284056
 4285637 4285653
 4285804 4285819
 4294913 4294933
 4295383 4295398
 4304075 4304093
 4304584 4304599
 4304750 4304767
 4366378 4366394
 4366545 4366560
 4367051 4367069
 4385577 4385593
 4385673 4385690
 4386244 4386262
 4387153 4387167
 4387401 4387413
 4388336 4388358
 4389034 4389048
 4389293 4389308
 4395147 4395160
 4396711 4396723
 4411306 4411325
 4411331 4411359
 4411405 4411423
 4416269 4416283
 4421431 4421459
 4428938 4428952
 4448099 4448116
 4448216 4448233
 4453401 4453417
 4453453 4453467
 4462491 4462502
 4462951 4462965
 4464478 4464495
 4470407 4470423
 4523425 4523439
 4530499 4530520
 4534641 4534654
 4536710 4536725
 4540492 4540505
 4540868 4540879
 4540966 4540977
 4541035 4541049
 4554834 4554846
 4565213 4565227
 4568001 4568016
 4573668 4573684
 4573765 4573781
 4576347 4576362
 4577126 4577141
 4579478 4579490
 4579958 4579972
 4583048 4583065
 4595828 4595842
 4602952 4602962
 4604681 4604697
 4623502 4623521
 4625526 4625542
 4627910 4627923
 4628340 4628354
 4630905 4630921
 4643106 4643119
 4650749 4650770
 4650918 4650935
 4651003 4651030
 4651061 4651077
 4663977 4663993
 4665470 4665488
 4674264 4674283
 4674353 4674367
 4674512 4674528
 4675659 4675675
 4675682 4675698
 4675727 4675745
 4676022 4676034
 4676425 4676439
 4680137 4680151
 4680245 4680255
 4688852 4688866
 4695645 4695657
 4698642 4698653
 4704663 4704680
 4705036 4705053
 4708056 4708074
 4716921 4716934
 4716958 4716976
 4717440 4717455
 4721661 4721682
 4721816 4721832
 4725496 4725509
 4727203 4727217
 4727283 4727300
 4732726 4732740
 4732857 4732876
 4739000 4739018
 4743783 4743795
 4746590 4746603
 4749786 4749800
 4749909 4749924
 4759681 4759696
 4768178 4768188
 4771875 4771893
 4772985 4773001
 4774599 4774615
 4782719 4782734
 4782884 4782901
 4783443 4783459
 4788613 4788631
 4795291 4795309
 4803649 4803671
 4819172 4819185
 4833549 4833566
 4833950 4833966
 4834107 4834122
 4867112 4867125
 4867411 4867426
 4885701 4885715
 4910931 4910942
 4914784 4914804
 4923302 4923316
 4927058 4927068
 4927077 4927098
 4930376 4930387
 4932918 4932934
 4932945 4932980
 4933713 4933726
 4933739 4933756
 4933786 4933804
 4933861 4933878
 4936560 4936582
 4940312 4940328
 4941050 4941062
 4944124 4944143
 4950988 4951019
 4952195 4952211
 4952942 4952958
 4953020 4953031
 4956943 4956957
 4966137 4966149
 4966232 4966247
 4966280 4966296
 4966503 4966519
 4970010 4970023
 4970061 4970093
 4970927 4970941
 4975357 4975372
 4976203 4976216
 4982045 4982056
 5003555 5003571
 5005337 5005348
 5008556 5008568
 5020707 5020725
 5020806 5020819
 5029049 5029067
 5032033 5032051
 5035940 5035955
 5041280 5041293
 5042079 5042097
 5042193 5042211
 5043402 5043412
 5043551 5043562
 5044046 5044058
 5044470 5044488
 5045195 5045210
 5045277 5045290
 5047523 5047540
 5051017 5051039
 5053653 5053668
 5057864 5057878
 5063869 5063881
 5074483 5074499
 5079146 5079160
 5079181 5079198
 5080783 5080797
 5084603 5084617
 5084629 5084646
 5085000 5085011
 5095021 5095038
 5096289 5096303
 5099424 5099442
 5103404 5103420
 5128528 5128541
 5155561 5155577
 5175864 5175878
 5177768 5177784
 5179044 5179061
 5179586 5179600
 5179676 5179688
 5180340 5180354
 5184733 5184749
 5198457 5198472
 5205747 5205760
 5209009 5209025
 5209272 5209289
 5209302 5209332
 5209682 5209696
 5216396 5216413
 5230966 5230980
 5237205 5237222
 5251758 5251770
 5252003 5252019
 5272950 5272960
 5278398 5278413
 5283016 5283032
 5297572 5297588
 5298267 5298282
 5300029 5300041
 5301628 5301644
 5302596 5302610
 5302929 5302945
 5307912 5307926
 5313588 5313601
 5317806 5317828
 5327642 5327658
 5331688 5331701
 5336304 5336328
 5336432 5336448
 5337080 5337093
 5351214 5351231
 5356146 5356160
 5356987 5357001
 5366873 5366886
 5367470 5367482
 5373242 5373255
 5381266 5381278
 5381394 5381407
 5388183 5388198
 5397096 5397112
 5398009 5398025
 5398184 5398199
 5419201 5419213
 5420298 5420314
 5432623 5432640
 5434824 5434835
 5441851 5441872
 5441877 5441898
 5441962 5441977
 5442010 5442024
 5442038 5442054
 5442120 5442135
 5446194 5446209
 5460625 5460639
 5468307 5468327
 5468495 5468510
 5469327 5469352
 5474328 5474349
 5480483 5480499
 5481463 5481481
 5481819 5481833
 5484784 5484800
 5484835 5484853
 5484882 5484903
 5484909 5484925
 5484962 5484981
 5486913 5486929
 5496444 5496460
 5512380 5512394
 5537117 5537129
 5537199 5537219
 5538933 5538950
 5546224 5546238
 5551542 5551558
 5551602 5551629
 5551689 5551704
 5552853 5552868
 5555406 5555423
 5558383 5558396
 5558420 5558447
 5561820 5561831
 5577052 5577068
 5577405 5577422
 5577528 5577541
 5580045 5580059
 5585896 5585911
 5585929 5585951
 5588645 5588661
 5588678 5588702
 5591394 5591407
 5591427 5591451
 5594142 5594159
 5594176 5594200
 5596892 5596907
 5596925 5596948
 5599640 5599657
 5599674 5599697
 5602390 5602406
 5602423 5602447
 5607452 5607465
 5607471 5607489
 5619080 5619096
 5620996 5621010
 5625479 5625495
 5627341 5627356
 5630774 5630788
 5631244 5631258
 5632023 5632039
 5645563 5645579
 5645748 5645760
 5652073 5652085
 5660246 5660260
 5660833 5660847
 5661913 5661928
 5662987 5663002
 5665499 5665512
 5665594 5665607
 5665664 5665680
 5666255 5666271
 5667971 5667994
 5668585 5668602
 5668756 5668771
 5673756 5673771
 5680432 5680451
 5681514 5681525
 5684034 5684053
 5689304 5689318
 5691683 5691699
 5693709 5693722
 5695700 5695716
 5695732 5695752
 5695757 5695776
 5695783 5695798
 5695807 5695825
 5696358 5696377
 5697633 5697644
 5698611 5698626
 5699508 5699520
 5699834 5699858
 5699873 5699888
 5700309 5700326
 5700350 5700371
 5700378 5700395
 5700402 5700422
 5700429 5700446
 5700702 5700718
 5700734 5700754
 5700759 5700778
 5700785 5700801
 5700811 5700827
 5712786 5712801
 5712841 5712856
 5713452 5713465
 5714855 5714871
 5721466 5721484
